Location,Organisation,Fellow,Organisation Description,Link to Partner Website,Start Date,Finish Date,Bio for New Site,Photo URL
"Johannesburg, South Africa",,Velemseni Zulu,,,01/01/2014,31/12/2015,"VELEMSENI ZULU
Velemseni Zulu studied at the University of Zululand in KwaZulu-Natal. While at University he got involved in a number of community outreach programmes and student organisations that dealt with members of the community who came from historically disadvantaged back-grounds. It was working with these communities that made him realise that every input can count and that he could contribute towards developing his surrounding communities. Velemseni joined the Legal Resources Centre (LRC) in the Johannesburg office as a Candidate Attorney in January 2014. He is working in the Constitutional Litigation Unit on land, mining and administrative law matters.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7c25e4b07877dd53f6de/1436384403393/?format=1000w&storage=local
"Johannesburg, South Africa",,Kelly Kropman,,,01/01/2015,31/12/2016,"KELLY KROPMAN
Kelly Kropman graduated with a Bachelor of Education degree from the University of Johannesburg. She completed her LLB at the University of Witwatersrand (Wits) while interning with Lawyers for Human Rights and working as a legal assistant at the Wits Legal Office. In Wits she was on the Students for Law and Social Justice Sub-committee and was the Vice Chair of the Student Disciplinary Representative Committee. Kelly joined the Legal Resources Centre (LRC) in the Johannesburg as a Candidate Attorney in January 2015.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7ce5e4b0564ee19a90cd/1436384504128/?format=750w&storage=local
"Johannesburg, South Africa",,Tasneem Kader,,,01/01/2015,31/12/2016,"TASNEEM KADER
Tasneem Kader is originally from Cape Town. Tasneem completed her LLB through UNISA. She joined the Legal Resources Centre as an intern in 2014. Tasneem is currently a Candidate Attorney at the Legal Resources Centre (LRC) in the Johannesburg Office where she has been working on housing and refugee matter and has dealt with issues around parole, protest and policing and on submissions around laws of evidence.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7d1de4b0c505a01e814a/1436384561909/?format=750w&storage=local
"Grahamstown, South Africa",,Talita Mshweshwe,,,01/01/2015,04/01/2017,"TALITA MSHWESHWE
Talita Mshweshwe is originally from East London in the Eastern Cape. She completed her LLB cum laude with the University of Fort Hare in Alice in the Eastern Cape. Talita is particularly interested in trade and economic issues with environmental implications as these manifest in development activities in the African Continent. Talita is currently a Candidate Attorney at the Legal Resources Centre (LRC) in the Grahamstown Office.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7d66e4b0dd8e965084c0/1436384734617/?format=750w&storage=local
"Grahamstown, South Africa",,Michael Tsele,,,01/01/2015,04/01/2017,"MICHAEL TSELE
Michael Tsele is a BA LLB graduate from Rhodes University in the Grahamstown, in the Eastern Cape. While in Rhodes, Michael served as a Student Disciplinary Board member. He hopes to study further in the fields of Constitutional and Administrative Law. Michael is currently a Candidate Attorney at the Legal Resources Centre (LRC) in the Grahamstown Office.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d80a5e4b0c45c3f8f53f3/1436385500434/?format=750w&storage=local
"Durban, South Africa",,Ektaa Deochand,,,01/01/2014,31/12/2015,"EKTAA DEOCHAND
Ektaa Deochand graduated with an LLB from the University of KwaZulu-Natal in 2013. She is passionate about administrative law and enjoys studying the dynamic political climate of the day. She values the relationships she has with her clients and enjoys exploring diverse cultures and social theories. Ektaa is currently a Candidate Attorney at the Legal Resources Centre (LRC) in the Durban Office.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8111e4b0b34ed11dcf86/1436385572122/?format=750w&storage=local
"Durban, South Africa",,Tawana Nharingo,,,01/01/2015,31/12/2016,"TAWANA NHARINGO
Tawana Nharingo obtained a BCom and LLB degree from the University of KwaZulu- Natal before being selected as one of two law graduates, as a Students for Law and Social Justice/SECTION 27 Research Fellow to work at SECTION 27’s offices in Johannesburg. He has an interest in empowering disadvantaged communities and contributing to the realization of a democratic society. Believing in the saying, “learning never ends”, Tawana hopes, in the future, to pursue an LLM. Tawana is currently a Candidate Attorney at the Legal Resources Centre (LRC) in the Durban Office.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8169e4b0193386d02965/1436385717688/?format=750w&storage=local
"Durban, South Africa",,Shaun Bergover,,,01/01/2015,31/12/2016,"SHAUN BERGOVER
Shaun Bergover was born in KwaZulu-Natal and completed his LLB at the University of KwaZulu- Natal (UKZN). Shaun went on to study his Masters in Environmental Law and also worked as a graduate assistant at the UKZN Law Faculty. Shaun worked in South Korea while doing research for his dissertation and then completed an internship at the Ethekwini Municipality in KwaZulu-Natal. He hopes to complete his Master’s degree this year. Shaun is currently a Candidate Attorney at the Legal Resources Centre (LRC) in the Durban Office.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d821be4b06869340bb746/1436385894759/?format=750w&storage=local
"Cape Town, South Africa",,Zama Khumalo,,,01/01/2014,31/12/2015,"ZAMANTUNGWA KHUMALO
Zamantungwa Khumalo (Zama) originates from KwaZulu-Natal. She studied law at the University of Pretoria and graduated with an LLB in 2013. While at University she was a member of the Student Parliament, Chairperson of her residence and Provincial Secretary of the Black Management Forum. Zama joined the Legal Resources Centre (LRC) in the Cape Town office as a Candidate Attorney in January 2014. She is working on housing and eviction matters and around environmental issues.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d82b8e4b0d042fb76a8c9/1436385997030/?format=1000w&storage=local
"Cape Town, South Africa",,Lara Wallis,,,09/06/2014,31/05/2016,"LARA WALLIS
Lara Wallis graduated with an LLB from the University of Cape Town (UCT) in 2012. Following this, she completed her LLM in Human Rights Law, also through UCT with a dissertation in International Criminal Law. During her studies, Lara volunteered at the Elsies River Advice Centre as a member of Students for Law and Social Justice (SLSJ) as well as at the UCT Refugee Rights Unit. Lara was also engaged in part-time research for the Democratic Governance and Rights Unit (DGRU) and interned with United Nations High Commissioner for Refugees (UNHCR) in Cape Town. Lara has a passion for nature and the outdoors and has taken part in conservation volunteer work. Lara is currently a Candidate Attorney at the Legal Resources Centre (LRC) in the Cape Town Office.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d831fe4b0271849bdc5da/1436386136653/?format=750w&storage=local
"Cape Town, South Africa",,Elgene Roos,,,01/01/2015,31/12/2016,"ELGENE ROOS
Elgene Roos is originally from Cape Town. In 2012 Elgene completed her BCom Law Degree, majoring in Economics from the University of the Western Cape. She completed her LLB Degree in 2014. She started working as a Candidate Attorney of the Legal Resources Centre (LRC) in the Cape Town office in January 2015; she is currently working on refugee and asylum seeking matters and around environmental rights.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8379e4b05b78390d803a/1436386218683/?format=750w&storage=local
"Cape Town, South Africa",,Lara Sauerbier,,,01/01/2015,31/12/2016,"LARA SAUERBIER
Lara Sauerbier graduated with a degree in Sociology from the University of Cape Town, and completed her Honours degree in Gender Studies from the University of Pretoria. In 2014 Lara completed her LLB from the University of South Africa. Lara’s areas of interest are related to gender equality and access to justice and before joining the Legal Resources Centre, she interned for the Commission for Gender Equality. Lara began working as a Candidate Attorney at the Legal Resources Centre (LRC) in the Cape Town Office in January 2015.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d83e3e4b0c7eb3659b5ae/1436386310432/?format=750w&storage=local
,PCHR,,"Legal aid to people suffering from repression in Gaza. ICC and Israel issue, universal jurisdiction",,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e882fe4b099c06a4774e3/1436452924120/?format=750w&storage=local
"Gaza, Palestine",,Mohammed Attallah,,,01/10/2013,30/09/2015,"MOHAMMED ATTALLAH
Mohammed Attallah is from Gaza, occupied Palestinian territory, and graduated from the Law Faculty at al-Azhar University, Gaza. He participated in the 2013 International Criminal Law Moot Court Competition in Gaza, and has received several trainings and legal skills.

Mohammed previously worked as an intern in human rights organizations that aim at enhancing and spreading the culture of human rights and democracy. He now aspires to build a career in lawyering for human rights.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d842be4b00abf56ee231f/1436386432349/?format=1000w&storage=local
India,,Dolamani Pradhan,,,01/08/2013,01/03/2015,"DOLAMANI PRADHAN | ODISHA | BALANGIR
Dolamani graduated from the University of Sambhalpur, Orrisa. Dolamani currently practices at the District Court in Balangir, ensuring that the oppressed have vertical access to the Higher Judiciary.",
"Gaza, Palestine",,Hanaa Abdelal,,,01/10/2013,30/09/2015,"HANAA ABDELAL
Hanaa was born in Gaza, occupied Palestinian territory. She graduated from the Islamic University, Gaza’s Faculty of Sharia and Law and was a participant of the international criminal law moot court project held in Gaza in 2013.

She is currently training in the Palestinian Centre for Human Rights, and hopes to become an international human rights defender. Hanaa is excited to be a Bertha Foundation fellow.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d84c5e4b0cdcc2c71ea9a/1436386552623/?format=1000w&storage=local
"Gaza, Palestine",,Raed Alporsh,,,01/10/2013,30/09/2015,"RA’ED MOHAMMED AL-BORSH
Ra’ed was born in Gaza, occupied Palestinian territory. He graduated from the Sharia and Law Faculty at the Islamic University, Gaza. He has previously worked at Hemaya Centre for Human Rights and as a local monitor on the voter registry update 2013.

Ra’ed has participated in the international criminal law moot court project, organized by the Palestinian Centre for Human Rights and contributed with a number of position and research papers during his studies, including “Causes of Juvenile Delinquency” and “Duties and Rights of Labour under Palestinian Law.”

Ra’ed aspires to play a role in protecting human rights nationally and internationally.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d853ce4b07f54795ced0d/1436386824465/?format=1000w&storage=local
"Gaza, Palestine",,Waleed Abuzeed,,,01/10/2013,30/09/2015,"WALID ABU-ZAID
Walid was born in Libya in 1985. He graduated from the Faculty of Law and Judicial Practice at Palestine University. In 2013, he participated in the international criminal law moot court organized by the Palestinian Centre for Human Rights. Since then, Walid decided to pursue a career in human rights defending.

He worked previously in the media as journalist. Walid aspires to become an international human rights defender, to learn of the cultures of other nations and contribute to an everlasting peace.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d862ee4b0f327d688a2ee/1436386949578/?format=1000w&storage=local
"Gaza, Palestine",,Rasha Alshaaer,,,01/10/2013,30/09/2015,"RASHA AL-SHA’ER
Born in Khan Younis, Palestine, Rasha graduated from the faculty of Law at Palestine University in 2013. Rasha is excited to be working at the Palestinian Centre for Human Rights under the Bertha Be Just fellowship program and believes it to be a great start for her prospective career in defending human rights.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d86ace4b011c51cf0d9de/1436387053906/?format=1000w&storage=local
"Gaza, Palestine",,Suheir Kharma,,,01/10/2013,30/09/2015,"SUHEIR KHARMA
Suheir is from Gaza, occupied Palestinian territory. She graduated from Law School at Al-Azhar University. She participated in the (ICL) Moot Court Competition at Hague, Netherlands and subsequently in the same competition held in Gaza.

She is excited to become a Be Just Fellow at the Palestinian Centre for Human Rights (PCHR), and believes that this project is very rewarding, informative and most beneficial to any lawyer who seeks knowledge.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d871de4b05b4916e35977/1436387168613/?format=1000w&storage=local
,FFR,,"War on terror (drones, etc) and death penalty ",,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e88cee4b0de0f49c1b68e/1436453107357/?format=2500w&storage=local
"Islamabad, Pakistan",,Umer Gilani,,,15/03/2015,15/03/2017,"UMER GILANI
Umer Gilani holds a degree in law and the humanities from the Lahore University of Management Sciences (LUMS). Between 2010 and 2013, he served as law clerk to Hon’ble Justice Jawwad S. Khawaja and also worked as Coordinator of the Supreme Court’s nascent clerkship programme. In 2013, he received a Fulbright scholarship to pursue an LLM in Comparative Law at the University of Washington, Seattle, where he wrote a dissertation on Pakistani judicial activism under the supervision of Professor Clark B. Lombardi. Before joining the Foundation for Fundamental Rights, Umer was working as a litigator in the Islamabad District Courts. He has previously published articles in academic journals and engaged in research projects for, amongst others, the Federal Judicial Academy, a Prime Minister's Legal Reforms Committee and a Commission of Inquiry headed by Hon'ble Justice Saqib Nisar. He regularly contributes op-eds on law and policy issues for local papers in Pakistan.

He is fluent in Urdu, English and Punjabi and has a working knowledge of Arabic and Persian.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8865e4b0271849bdec4d/1436387554412/?format=500w&storage=local
"Islamabad, Pakistan",FFR,Ayesha Khan,,,01/09/2014,31/08/2016,"AYESHA SIDDIQUE KHAN
Ayesha Siddique Khan qualified as a barrister from Lincoln's Inn in year 2013 and holds an LLM degree in International Protection of Human Rights Law from University of London. She has been involved in a lot of community service work during her college years as the President of the social work group of the student body and later as President of the community service committee of the US Ambassador's youth council.

She is also a member of the Youth Parliament of Pakistan and an alumnus of the Pakistan, US State Department network. She is enrolled as an advocate with Punjab Bar Council since 2014. She takes keen interest in history, politics and current affairs and wants to work for the protection and preservation of fundamental human rights of the citizens of Pakistan in future. ",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d896be4b02979f524bb4c/1436387714228/?format=750w&storage=local
"Islamabad, Pakistan",,Zahoor Ellahi,,,01/11/2014,30/10/2016,"ZAHOOR ELLAHI
Zahoor holds an L.L.B (Hons) Shari’ah & Law from the International Islamic University, Islamabad. He is enrolled as a practicing lawyer with the Punjab Bar Council since 2010 and is also an Advocate of High Court. Before joining FFR as Bertha fellow, Zahoor worked with a leading law firm specializing in criminal and commercial litigation.

Zahoor has taught Criminal and Civil Law at the London College of Law, Islamabad during 2011-12 as a visiting faculty member. Zahoor speaks English, Urdu, Arabic and Kashmiri fluently. ",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d89b9e4b03b366b211d54/1436387814395/?format=750w&storage=local
,Reprieve,,"War on terror (drones, etc) and death penalty ",,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e8877e4b0f31bb0e6061b/1436453017222/?format=2500w&storage=local
"London, UK",,Omran Belhadi,,,07/01/2015,30/06/2017,"Omran Belhadi studied law at the University of Warwick, with a particular focus on comparative European Law, and graduated in 2012. Omran joined Reprieve in September 2013 as a caseworker after spending a year in Pakistan working with Reprieve’s sister organisation, Justice Project Pakistan. In Pakistan, Omran worked on the case of Pakistani citizens detained by the US military in Afghanistan. At Reprieve, Omran works on a number of cases including litigation on behalf of torture and rendition victims before UK courts and those of individuals currently held at Guantanamo Bay. Omran speaks English, French, German, Arabic, Urdu and some Spanish.
As a Bertha fellow, Omran will be responsible for researching novel and innovative ways to challenge UK and US abuses in counter-terrorism. He will be assisting the Legal Director of the Abuses in Counter-Terrorism Team on all existing and planned litigation before UK courts. This covers a broad range of areas of law, including judicial reviews, tort claims and claims before various tribunals such as the Investigatory Powers Tribunal and the Information Tribunal. Additionally, Omran will be involved in Reprieve’s efforts to scrutinise and raise awareness of UK government policies that threaten the rule of law in the UK, including planned cuts for legal aid, judicial review reforms and proposals to scrap the Human Rights Act.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8a10e4b0662f614f2eaf/1436387940685/?format=750w&storage=local
,SERI,,Socio-economic rights in South Africa. Marikana case. ,,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e898fe4b04dcbb7dc53e7/1436453278490/?format=1000w&storage=local
"Johannesburg, South Africa",,Mbekezeli Benjamin,,,01/01/2014,31/12/2015,"MBEKEZELI BENJAMIN
Mbekezeli Martin Benjamin has been a candidate attorney at SERI since January 2014 and holds a Bachelor of Laws (LLB) degree from the University of the Witwatersrand in Johannesburg, South Africa. He first joined SERI as a research assistant in 2012, working with its attorneys and researchers in negotiating better living conditions for some of SERI’s Johannesburg inner-city clients. Mbekezeli has been involved in non-governmental organisations which work in fields such as animal welfare, environmental protection and conservation, youth empowerment and education. His interests –which include politics and current affairs, social justice and human rights, environmental and animal conservation– broadly align with the work of these organisations.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8aa7e4b05b78390db60b/1436388100963/?format=1000w&storage=local
"Johannesburg, South Africa",,Nkosinathi Sithole,,,01/01/2014,31/12/2015,"NKOSINATHI SITHOLE
Nkosinathi Sithole joined SERI as a litigation fellow in January 2014 and will be registering his articles of clerkship in January 2015. He completed an LLB degree at the University of Witwatersrand in 2014, after having completed his Practical Legal Training with L.E.A.D in Auckland Park in 2013. He has worked as a research assistant for the University of Cape Town at the South and North Gauteng High Courts and the Office of the Master of the South Gauteng High Court.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8b2ee4b02d6f80cea0c9/1436388177792/?format=1000w&storage=local
"Johannesburg, South Africa",,Lwazi Mtshiyo,,,01/03/2015,28/02/2017,"LWAZI MTSHIYO
Lwazi became a candidate attorney at SERI in March 2015, after having worked as a research and advocacy officer at the organisation for a year. In 2010 Lwazi worked as a paralegal at SERI before completing his LLB degree at the University of the Western Cape (UWC).
Lwazi has extensive human rights work experience from working with communities on various socio-economic rights issues. Before joining SERI, Lwazi worked for the South African Human Rights Commission (SAHRC), the Black Sash and the South African History Archive (SAHA).
He has a general interest in current local and international political affairs that have an impact on human rights issues. He sees public interest litigation as one of the strongest weapons of ensuring that the rights of the most vulnerable are protected.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8babe4b0dd8e9650edbf/1436388302662/?format=750w&storage=local
"Johannesburg, South Africa",,Zwonaka Netshifulani ,,,01/01/2015,31/12/2016,"TSHANGA ZWONAKA NETSHIFULANI
Tshanga Zwonaka Netshifulani joined SERI as a candidate attorney in January 2015. Zwonaka completed her LLB at the University of the Witwatersrand in 2012 and served an internship for one year at the South African Human Rights Human Commission (SAHRC) under the Chief Operations Officer. She is currently reading for an LLM in Constitutional Litigation at the University of KwaZulu-Natal (UKZN).

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8c29e4b0193386d0791c/1436388405475/?format=750w&storage=local
"Johannesburg, South Africa",,Princess Magopane,,,01/02/2012,01/06/2015,"PRINCESS MAGOPANE
Princess graduated from the University of the Witwatersrand with a Bachelor of Arts degree in 2006 and is currently in her final year of an LLB degree at the same university. Prior to becoming a candidate attorney and Be Just Fellow at the Socio-Economic Rights Institute (SERI), she had worked as a paralegal at SERI. She had also worked at a law firm from 2007 to 2010, gaining ample experience in litigation at both the Magistrates and High Court level.

She is interested in social justice, human rights law and public interest litigation, and hopes to gain more insight and experience in this area of law while at SERI. ",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8c58e4b0dd8e9650f29b/1436388484635/?format=1000w&storage=local
,ProDESC,,"Extractive industries, rights of communities and workers. There is now a big case coming against one Canadian company ",,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e89eee4b0445daef471d1/1436453368966/?format=1500w&storage=local
"Mexico City, Mexico",,Itzel Jazmín Moran Chávez,,,2/1/2014,31/01/2016,"ITZEL JAZMÍN MORAN CHÁVEZ
Itzel is a recent graduate of the School of Law of Universidad Autónoma del Estado de Hidalgo, with a minor in criminal sciences. During her time at the university she completed volunteer work with different agencies of the Public Prosecutor’s Office, taking depositions, issuing resolutions and initiating background checks. While completing her degree she also gained experience in forensic investigation while working as a volunteer at the Public Prosecutor’s Forensic Medical Service Office. She complemented her studies with a certification in Oral Proceedings and in Criminology at the National Institute of Criminal Sciences in Mexico City. In 2013 she came to the Proyecto de Derechos Económicos Sociales y Cultarales (ProDESC) to complete an internship in the field of transnational justice.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8d02e4b01fd130bcdcd8/1436388714140/?format=1000w&storage=local
"Mexico City, Mexico",,Ana Luisa Vega,,,2/1/2014,31/01/2016,"ANA LUISA VEGA
Ana Luisa recently graduated with a law degree from the Universidad Autónoma Metropolitana (UAM) in Mexico City. As part of her studies, Ana Luisa spent 2012 gaining experience volunteering at the Federal District Superior Court of Justice. She has also completed an internship with a private law firm and she worked in the human resources department of a large company prior to commencing her legal studies. Ana Luisa has been an active member of Greenpeace since 2007 and she obtained fourth place in the UAM’s Economic, Social and Cultural Rights Competition in 2009. Ana Luisa joined the ProDESC team as a Be Just Fellow in 2014.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8d8fe4b07877dd5478da/1436388801490/?format=1000w&storage=local
"Mexico City, Mexico",,Yesenia Anahi Avila,,,2/1/2014,31/01/2016,"YESENIA ANAHI AVILA
Anahi graduated from the Universidad Nacional Autónoma de México with a law degree in 2013. Anahi completed two legal internships in private law firms during the course of her studies. She worked on matters involving many different types of law in these firms, including the civil, family, administrative, criminal and commercial branches of law. Anahi complemented her experience in the private field by volunteering at the Public Prosecutor’s Office in 2013, where much of her work involved the drafting of appeals against court decisions. Anahi joined the ProDESC team as a Be Just Fellow in 2014.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d8df3e4b00219c95a2738/1436388900679/?format=1000w&storage=local
,ATPDH ,,"Wide range of issues. In recent months, fellows work on the case of former Chadian dictator Hissène Habré and his accomplices. ",,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e8aa5e4b01ced206edd3e/1436453599521/?format=1000w&storage=local
Chad ,,Diane Sobmeka,,,?,?,"DIANE SOBMEKA
Diane Sobmeka has a Master's degree in Human Rights and Humanitarian Action from the Université Catholique d’Afrique Centrale and a Master’s degree in Private Law from the Université de Yaoundé (Cameroon). She has focused her professional practice on litigation, as a defender of victims of human rights violations in Chad. With Jacqueline Moudeina of the ATPDH, she helps represent the victims of Habré's security forces so that “they will never be forgotten.""",
Chad ,,Rose Allaissem,,,?,?,"ROSE ALLAISSEM
Rose Allaissem holds a Law Degree from the University N’gaoundéré (Cameroon). For the last few years she has focused her work on human rights issues in Chad. She previously worked in Chad for the Public Interest Law Center. With Jacqueline Moudeina of the ATPDH she is representing the victims of Habré's security forces to help “Habré’s victims to get justice.”",
